version,version_season,season,full_name,castaway_id,castaway,age,city,state,episode,day,order,result,jury_status,place,origil_tribe,jury,finalist,winner,acknowledge,ack_look,ack_speak,ack_gesture,ack_smile
US,US15,15,Ashley Massaro,US0223,Ashley,28,East Northport,New York,2,6,2,2nd voted out,,15,Zhan Hu,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
US,US15,15,Leslie Nease,US0224,Leslie,38,Tega Cay,South Carolina,3,9,3,3rd voted out,,14,Fei Long,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
US,US15,15,Dave Cruser,US0225,Dave,37,Simi Valley,California,4,12,4,4th voted out,,13,Zhan Hu,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
US,US15,15,Aaron Reisberger,US0226,Aaron,32,Venice,California,5,15,5,5th voted out,,12,Fei Long,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
US,US15,15,Sherea Lloyd,US0227,Sherea,26,Atlanta,Georgia,6,18,6,6th voted out,,11,Zhan Hu,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
US,US15,15,Jaime Dugan,US0228,Jaime,22,Columbia,South Carolina,7,21,7,7th voted out,1st jury member,10,Zhan Hu,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
US,US15,15,Jean-Robert Bellande,US0229,Jean-Robert,36,Las Vegas,Nevada,8,24,8,8th voted out,2nd jury member,9,Fei Long,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
US,US15,15,Michael Zernow,US0230,Frosti,20,Chicago,Illinois,9,27,9,9th voted out,3rd jury member,8,Zhan Hu,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
US,US15,15,James Clement,US0231,James,30,Lafayette,Louisiana,11,30,10,10th voted out,4th jury member,7,Fei Long,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
US,US15,15,Erik Huffman,US0232,Erik,26,Nashville,Tennessee,12,33,11,11th voted out,5th jury member,6,Zhan Hu,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
US,US15,15,Peih-Gee Law,US0233,Peih-Gee,29,Marina del Rey,California,13,36,12,12th voted out,6th jury member,5,Zhan Hu,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
US,US15,15,Denise Martin,US0234,Denise,40,Douglas,Massachusetts,14,38,13,13th voted out,7th jury member,4,Fei Long,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
US,US15,15,Amanda Kimmel,US0235,Amanda,22,Los Angeles,California,14,39,14,2nd runner-up,,3,Fei Long,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA
US,US15,15,Courtney Yates,US0236,Courtney,26,New York City,New York,14,39,15,Runner-up,,2,Fei Long,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA
US,US15,15,Todd Herzog,US0237,Todd,22,Pleasant Grove,Utah,14,39,16,Sole Survivor,,1,Fei Long,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA
